date,close,high,low,open,volume
2025-06-05,,GOOGL,GOOGL,GOOGL,GOOGL
2025-06-06,,,,,
2025-06-09,,170.72331951416996,167.3873615992156,170.1340365467451,36379100
2025-06-10,,174.2890017669552,170.6234412090639,170.6234412090639,35731800
2025-06-11,,176.47000122070312,174.3699951171875,174.5399932861328,28935900
2025-06-12,,181.11000061035156,174.91000366210938,176.1999969482422,61766100
2025-06-13,,180.3699951171875,176.75,179.77000427246094,31646800
2025-06-16,,176.72000122070312,174.75,176.17999267578125,20941900
2025-06-17,,177.1300048828125,172.38999938964844,172.44000244140625,27663100
2025-06-18,,176.94000244140625,174.64999389648438,174.72999572753906,27389200
2025-06-19,,177.36000061035156,174.5800018310547,175.6999969482422,24973000
2025-06-20,,176.55999755859375,173.1999969482422,176.00999450683594,28707500
2025-06-23,,174.33999633789062,165.4600067138672,173.9499969482422,75659900
2025-06-24,,167.33999633789062,162.0,166.27000427246094,57671000
2025-06-25,,168.22000122070312,166.1300048828125,166.9199981689453,40524300
2025-06-26,,172.36000061035156,167.5500030517578,167.6300048828125,35479000
2025-06-27,,173.69000244140625,169.94000244140625,172.42999267578125,31796700
2025-06-30,,178.67999267578125,171.72999572753906,173.5399932861328,108140200
2025-07-01,,181.22999572753906,174.5800018310547,180.77999877929688,63378900
2025-07-02,,176.08999633789062,173.52999877929688,175.74000549316406,35904500
2025-07-03,,178.86000061035156,175.07000732421875,175.5399932861328,29100000
2025-07-04,,179.6699981689453,177.0500030517578,178.5,21689700
