date,close,high,low,open,volume
2025-06-05,,AMZN,AMZN,AMZN,AMZN
2025-06-06,,,,,
2025-06-09,,212.80999755859375,207.55999755859375,209.5500030517578,51864200
2025-06-10,,213.8699951171875,210.5,212.39999389648438,39832500
2025-06-11,,217.85000610351562,212.8800048828125,214.75,38102500
2025-06-12,,217.69000244140625,214.14999389648438,216.77999877929688,31303300
2025-06-13,,218.39999389648438,212.88999938964844,217.41000366210938,39326000
2025-06-16,,213.5800018310547,211.3300018310547,211.77999877929688,27640000
2025-06-17,,214.0500030517578,209.6199951171875,209.9600067138672,29337800
2025-06-18,,217.05999755859375,211.60000610351562,212.30999755859375,33284200
2025-06-19,,217.41000366210938,214.55999755859375,215.1999969482422,32086300
2025-06-20,,217.9600067138672,212.33999633789062,215.08999633789062,44360500
2025-06-23,,214.88999938964844,208.27000427246094,214.67999267578125,75350700
2025-06-24,,210.38999938964844,207.30999755859375,209.7899932861328,37311700
2025-06-25,,214.33999633789062,211.0500030517578,212.13999938964844,38378800
2025-06-26,,216.02999877929688,211.11000061035156,214.6199951171875,31755700
2025-06-27,,218.0399932861328,212.00999450683594,213.1199951171875,50480800
2025-06-30,,223.3000030517578,216.74000549316406,219.9199981689453,119217100
2025-07-01,,223.82000732421875,219.1199951171875,223.52000427246094,58887800
2025-07-02,,221.8800048828125,217.92999267578125,219.5,39256800
2025-07-03,,221.60000610351562,219.05999755859375,219.72999572753906,30894200
2025-07-04,,224.00999450683594,221.36000061035156,221.82000732421875,29632400
